price,estate_type,city,sector,street,area
195000,3-х комнатная квартира,Кишинёв,Телецентр,ул. Георге Асаки 71/7,97
470000,5-ти комн. кварт. и более,Кишинёв,Центр,str. Izmail 88,215
199500,2-х комнатная квартира,Кишинёв,Буюканы,ул. Василе Лупу 28,71
89900,2-х комнатная квартира,Дурлешты,Центр,str. Cartusa .,75
89900,1-комнатная квартира,Дурлешты,Центр,str. Tudor Vladimirescu 75/1,42
74900,1-комнатная квартира,Кишинёв,Телецентр,str. Ialoveni 137,48
130000,2-х комнатная квартира,Кишинёв,Ботаника,bd. Dacia 58,66
125800,2-х комнатная квартира,Кишинёв,Буюканы,Alba Iulia -89,68
76800,2-х комнатная квартира,Кишинёв,Старая Почта,str-la Studenților 18,60
48700,1-комнатная квартира,Кишинёв,Телецентр,Ialoveni 134,43
140000,1-комнатная квартира,Кишинёв,Рышкановка,ул. Академик Сергей Рэдэуцану 9,60
98900,1-комнатная квартира,Думбрава,Центр,str. Durlești 10,44
235000,3-х комнатная квартира,Кишинёв,Чокана,bd. Mircea cel Bătrân .,91
390000,3-х комнатная квартира,Кишинёв,Ботаника,str. Tudor Strișcă 8/7,163
219900,2-х комнатная квартира,Кишинёв,Буюканы,ул. Каля Ешилор 6,68
206115,2-х комнатная квартира,Кишинёв,Старая Почта,str. Iazului 38,143
120270,2-х комнатная квартира,Кодру,Окраина,str. Valea Apelor 21,65
89900,2-х комнатная квартира,Кишинёв,Центр,str. Ismail 92/1,62
179000,2-х комнатная квартира,Дурлешты,Центр,Caucaz 87,130
