rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
2-х комнатная квартира,,,108900.0,,,,,Агентство,,Новострой,,9,5.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spatarul 57,66
2-х комнатная квартира,,Индивидуальная,89900.0,1,1,Квартира с ливингом,Eвроремонт,Застройщик,Kотельцовый,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Николае Титулеску 53/2,46
1-комнатная квартира,,,61000.0,,,Квартира с ливингом,,Частное лицо,,Новострой,Lagmar Impex,10,1.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 1/1,43
1-комнатная квартира,Подземная,,67200.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 60/5,47
1-комнатная квартира,Подземная,Индивидуальная,85400.0,1,1,,Белый вариант,Застройщик,Блочный,Новострой,Pamir Construct,18,5.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Decebal 139/a,43
2-х комнатная квартира,Подземная,Индивидуальная,114600.0,1,1,Квартира с ливингом,Незавершенное cтроительство,Застройщик,Блочный,Новострой,Pamir Construct,18,7.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Decebal 139/a,60
3-х комнатная квартира,Подземная,,209900.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Exfactor-grup,14,12.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,112
3-х комнатная квартира,Oткрытое,Индивидуальная,147300.0,1,2,Квартира с ливингом,Незавершенное cтроительство,Застройщик,Kотельцовый,Новострой,Pamir Construct,5,2.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 182,98
1-комнатная квартира,Oткрытое,Индивидуальная,85200.0,1,,Квартира с ливингом,Незавершенное cтроительство,Застройщик,Kотельцовый,Новострой,Pamir Construct,5,2.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 182,53
1-комнатная квартира,,,109000.0,,,,Eвроремонт,Агентство,,Новострой,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 25,43
2-х комнатная квартира,,,78000.0,,,,Белый вариант,Застройщик,,Новострой,Varicom,6,4.0,Кишинёв мун.,Криково,Центр,str. Chişinău 68,65
