rooms,bathroom,apartment_condition,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
2.0,2.0,0.0,6,3.0,86,1150.0,0.5,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,,,,1,47.0221197,28.8408695,1802.2657073879273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2.0,2.0,0.0,13,13.0,126,1650.0,1.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0624684,28.844226,2065.336266558727,0,47.0624684,28.844226,2065.336266558727,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,0.0,12,3.0,51,1696.078431372549,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.9793234,28.8793066,2148.5113086225924,0,46.9793234,28.8793066,2148.5113086225924,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,4.0,9,5.0,66,1650.0,0.5555555555555556,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.061931,28.8971101,2948.1410951016405,0,47.061931,28.8971101,2948.1410951016405,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.0,1.0,4.0,5,1.0,46,1954.3478260869565,0.2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46.9918384,28.8712125,1373.547732802986,0,46.9918384,28.8712125,1373.547732802986,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,4.0,10,1.0,43,1418.6046511627908,0.1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0574931,28.8477125,3183.719137642307,0,47.0574931,28.8477125,3183.719137642307,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,0.0,9,3.0,47,1429.787234042553,0.3333333333333333,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,46.9429121,28.9228055,7238.56211873828,0,46.9429121,28.9228055,7238.56211873828,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,0.0,18,5.0,43,1986.046511627907,0.2777777777777778,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,46.9868259,28.8591444,411.476657006375,0,46.9868259,28.8591444,411.476657006375,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,4.0,18,7.0,60,1910.0,0.3888888888888889,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,46.9868259,28.8591444,411.476657006375,0,46.9868259,28.8591444,411.476657006375,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3.0,2.0,0.0,14,12.0,112,1874.107142857143,0.8571428571428571,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0221197,28.8008688,1883.9410283209686,0,47.0221197,28.8008688,1883.9410283209686,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
